,reviews,ratings,days
16,❤️ 상품명 :풀무원 밀 누들 국물 떡볶이 2인분❤️ 구매이유 :요즘 외식 물가가 비싸잖아요~ 한푼이라도 아껴보려고 떡볶이 같은 간단한 분식은 집에서 해먹어보자는 마음으로 구매하게 되었습니다! 평소에 풀무원 브랜드를 좋아하기도 하고 길고 얇은 떡볶이가 색다를 것 같아서 주문해보았습니다.(저는 후레이크를 별로 안좋아해서 후레이크 빼고 조리했어요!)❤️ 장점 : - 떡이 말랑해요- 조리가 진짜 간편해요! 5분정도?? 물 넣고 떡 넣고 소스 넣고 끓이기만 하면 완성!- 시중에 파는 레토르트 제품에 비해 단맛이 덜해요. 가끔 너무 달아서 다신 손이 안가는 제품들이 있는데 요건 적당히 달아서 좋아요 ㅎㅎ❤️ 꿀팁 :- 어묵이랑 맛살 따로 구매해서 꼭 넣어서 드세요! 맛살까진 아니어도 어묵은 꼭꼭 필수입니다! 떡만 있으면 아무래도 심심하잖아요❤️ 단점 : - 토핑이랄게 딱히 없고 떡이랑 후레이크만 있어요 ㅠㅠ⭐️ 별점 (5개 만점) : ⭐️⭐️⭐️⭐️⭐️❣️ 상품 구매하시는데 제 리뷰가 도움이 되셨다면 아래 도움돼요 버튼 눌러주세요 ❣️,5,2024.03.12
17,놀러 가서 냄비 에다 물만 붓고 맛있게 잘 먹었어요 은근히 매콤 한데 달달한 맛이 제스타일이네요,5,2024.03.12
18,맛있네요 맵지도 않아서 아이들도 잘먹어요,5,2024.03.12
19,"양파,어묵 추가해서 드세용 졸맛",5,2024.03.12
20,❤️ 상품명 :풀무원 밀 누들 국물 떡볶이 2인분❤️ 구매이유 :요즘 외식 물가가 비싸잖아요~ 한푼이라도 아껴보려고 떡볶이 같은 간단한 분식은 집에서 해먹어보자는 마음으로 구매하게 되었습니다! 평소에 풀무원 브랜드를 좋아하기도 하고 길고 얇은 떡볶이가 색다를 것 같아서 주문해보았습니다.(저는 후레이크를 별로 안좋아해서 후레이크 빼고 조리했어요!)❤️ 장점 : - 떡이 말랑해요- 조리가 진짜 간편해요! 5분정도?? 물 넣고 떡 넣고 소스 넣고 끓이기만 하면 완성!- 시중에 파는 레토르트 제품에 비해 단맛이 덜해요. 가끔 너무 달아서 다신 손이 안가는 제품들이 있는데 요건 적당히 달아서 좋아요 ㅎㅎ❤️ 꿀팁 :- 어묵이랑 맛살 따로 구매해서 꼭 넣어서 드세요! 맛살까진 아니어도 어묵은 꼭꼭 필수입니다! 떡만 있으면 아무래도 심심하잖아요❤️ 단점 : - 토핑이랄게 딱히 없고 떡이랑 후레이크만 있어요 ㅠㅠ⭐️ 별점 (5개 만점) : ⭐️⭐️⭐️⭐️⭐️❣️ 상품 구매하시는데 제 리뷰가 도움이 되셨다면 아래 도움돼요 버튼 눌러주세요 ❣️,5,2024.03.11
21,아이들 최애 간식입니다^^  제가  쌀떡볶이보다는 밀떡볶이를 더 좋아해서아이들도  밀떡볶이로 구입해서 먹이고 있답니다!말랑말랑한 떡이~~ 떡이 얇은 편의 밀 누들로 되어 있어 국물이 잘 배어요~~그리고 이 제품은 순한 맛 떡볶이라서.. 그리 맵지않고 달콤해서아이들이 먹기에도 좋아용^^ 어묵이랑 치즈떡 추가하면 4인 가족 충분해서 한 끼  떼우기에도 넉넉합니다^^,5,2024.03.11
22,초2  아이가 안맵고 맛있대요밀떡이라 쫄깃하고 양념이맛있어요,5,2024.03.10
23,갑자기 날씨가 싸늘해지니떡볶이 생각에 주문했어요 맛나네요,5,2024.03.09
24,"상품명 : 풀무원 밀 누들 국물떡볶이 2인분, 423.5g, 1개구매 일자 : 2024년 03월 01일소비 기한 : 2024년 04월 10일쿠팡에서 냉동 김말이를 사면서 떡볶이와 같이 먹으면 좋을 것같아서 검색하다가 이 제품을 발견하게 되었습니다. 제가 면같이 긴 떡을 좋아하기도 하고 국물이 너무 없는 떡볶이보다는국물이 자작한 국물 떡볶이를 좋아해서 이 제품을 주문해 보았습니다. 내용물은 야채 후레이크와 떡 소스 이렇게 3가지로 단촐해서 맛이 있을까 싶더라고요 뭔가 야채가 부족한 것 같아서 저는 집에 있는 양배추와 삶은 계란을 추가해서 먹었습니다. 어묵이라도 조금 들어있었다면 좋지 않았을까 싶긴 하더라고요 ㅎ조리는 굉장히 간편해서 떡을 찬물에 한번 씻은 다음 200ml 물을 넣고내용물을 다 넣은 후 끓이면 됩니다. 물 조절만 잘한다면 누구나 손쉽게 할 수 있어서 조리는 간편하더라고요떡볶이 소스 맛은 달고 매운 소스인데 처음에는 소스가 너무 물 같아서밍밍하지 않을까 싶었는데 떡이 익으면서 적당히 꾸덕해져서 맛이괜찮았습니다. 간편하게 밀키트 형식으로 나온 떡볶이 중에서는 맛이 괜찮은 편이라저는 재 구매 의향 있습니다. 직접 이용해 보고 개인적인 느낌을 적은 솔직한 사용 후기 입니다. 부족하지만 제 후기가 구매 결정에 도움이 되길 바라며 제 리뷰가 도움이 되었다면 [도움이 돼요] 한번 꾹 눌러주세요^_^",5,2024.03.08
25,밀 누들은 보통인데 소스가 좀 달아요,4,2024.03.06
26,"아이들도 너무 맵지않아서 잘먹는 매콤달콤 국물 떡볶이예요~밀누들이 길쭉해서 후룩륵 먹을수 있고 식감도 쫄깃하고 맛있어요 식으면 약간 딱때해지는데ᆢ다시 데우면 말랑해지니 굳더맵게 먹고 싶으면 고추장을 추가 하면 되고ᆢ야채나 오뎅 , 치즈도 얹어서 먹으면 되니 취향껏 추가해서 다양하게 먹을수 있으니 잘샀어요 풀무원이라 믿을수 있고 가성비도 좋은편이라 강추예욤",5,2024.03.06
27,아이들 최애 간식입니다^^  제가  쌀떡볶이보다는 밀떡볶이를 더 좋아해서아이들도  밀떡볶이로 구입해서 먹이고 있답니다!말랑말랑한 떡이~~ 떡이 얇은 편의 밀 누들로 되어 있어 국물이 잘 배어요~~그리고 이 제품은 순한 맛 떡볶이라서.. 그리 맵지않고 달콤해서아이들이 먹기에도 좋아용^^ 어묵이랑 치즈떡 추가하면 4인 가족 충분해서 한 끼  떼우기에 넉넉합니다^^,5,2024.03.05
28,잠깐의 최애의 간식 떡볶이구요~^^애들도 직접해먹기에 용이. 빠르게 먹기에도 좋은 분식이예요,5,2024.03.04
29,"구매한 상품명 - 풀무원 밀 누들 국물 떡볶이 2인분 423.5그램 1개상품 주문한 날짜 - 2024. 02. 25상품 배송 완료 날짜 - 2024. 02. 26 로켓프레시 상품안녕하세요?저는 필요한 상품이 있을 시, 오프라인에서 구매하는 것보다, 온라인에서 주문하는 비중이 압도적으로 높으며 선호하고, 쿠팡을 사랑하고 좋아하는 소비자 1인입니다. 아울러 신선상품 (냉동 식품, 냉장 식품, 야채, 우유, 과일, 시원한 음식들 등)은 오로지 쿠팡에서 로켓프레시로만 주문하는 1인입니다.아울러 직구상품도 다른 사이트에서 구매하지 않고, 오로지 쿠팡에서 로켓직구로 구매하는편입니다.글 재주가 없고 생각나는대로 작성하기에 두서가 없더라도 양해 부탁드립니다.저는 떡볶이를 좋아는 하는데 자주 먹진 않습니다.요즘 떡볶이 프렌차이즈점 많지요~ 엽x부터해서 청x다방, 신x 등저는 저렴한 신x 떡볶이가 저렴하게 먹을 수 있고 가격대비 가장 맛있더라구요.그러나 집 근처에는 없어서 자주 접하진 못합니다.그래서 밀키트, 냉장 떡볶이, 냉동 떡볶이를 가끔 구매해서 집에서 간단하게 조리해먹습니다.구성품은 단출합니다 떡과 후레이크, 양념소스 끝~설명에 물 200미리 넣으라했는데 200미리를 넣어보니 물이 엄청 적을거 같다는 생각이 들었습니다.물을 더 넣고 끓이는데 떡이 익어서 바닥에 안착하니 물이 엄청 많은 느낌이 들었습니다.그래서 전 집에 있는 불닭 소스를 추가로 조금 넣었습니다.계란도 삶아서 같이 먹었는데 아주 맛나게 잘 먹었습니다.떡은 쫄깃하고 아주 맛있는 밀떡은 아니지만 쫄깃해서 그런지 씹는맛이 좋았습니다.양념은 물을 많이 넣어서  불닭소스를 추가해서 넣어서 그런지 적당히 매콤하게 나름 맛나게 먹었습니다.기본 양념소스는 매콤함 없이 달짝지근한 맛인거 같습니다.장 점 - 떡이 쫄깃합니다. 가격이 저렴합니다. 매콤함이 없어 어린 아이들이 먹기 좋습니다.단 점- 2인이서 먹기에는 양이 적습니다.(성인기준) 1도 매콤함이 없습니다.재구매 의사 있습니다.",5,2024.03.04
30,풀무원 국물떡볶이 아들이 좋아해서종종 주문해먹어요많이 맵지 않고 떡도 쫄깃하니 좋아요만족합니다,5,2024.03.04
31,자주 주문해서 먹고있어요.,4,2024.03.03
32,밀떡이라 쫄깃쫄깃 최저가일때 사서 행복,5,2024.03.03
33,맛있고 간편한 떡볶에를 찾으신다면! 풀무뤈 누들 떡볶이 추천합니다 저는 소울 푸드가 떡볶이라고 할만큼 떡볶이를 좋아하는데요 그래서 시중에 나와있는 떡볶이도 많이 먹어보고 떡볶이 맛집도 찾아가는설 굉장히 좋아해요 그만큼 여러번 먹어보고 제기준 떡볶이가 맛있다면 매일 매일 일주일내내먹어도 질리지않아할만큼 좋아하는데요 풀무원 제품은 한번 먹어봤는데 만드는것도 라면 끓이는 만큼 쉽고 맛은 그에 못지않아 구매하게됐어요 양은 둘이서 먹으면 좋고 셋이서 먹으려면 다른 김밥이리던지 사에드 메뉴가 엤으면 셋이서도 먹을수 엤어요 국물도 나름 낭낭해서 계란 삶아서 같이 걑들여먹으면 진짜 맛엤어요 만드는 법도 라면끓이는섯보다 간편합니다 200미리의 물만 넣고 누들면은 물로 헹구면서 하나하나 떨어뜨린채로 물과 소스 고명 모두 다넣고 7분만 팔팔 끓이면 돼요 처음부터 한번에 너ㅓㅎ고 끓이면 돼ㅛㅓ 더 쉽고 간편한데요 소스가 떡에 듬뿍 먹은게 좋다면 10분 정도로 졸여서 드서도 듀ㅐ요 졸여먹는것도 간이약간 강해지지만 맛있었어요 대신 물양이 거의 없어져서 좀 걸쭉해집니다 너무 맛있고 편해ㅛㅓ 자주 먹을것 같아요 유통기한도 넉넉합니다,5,2024.03.02
34,아이들 최애 간식입니다^^  제가  쌀떡볶이보다는 밀떡볶이를 더 좋아해서아이들도  밀떡볶이로 구입해서 먹이고 있답니다!말랑말랑한 떡이~~ 떡이 얇은 편의 밀 누들로 되어 있어 국물이 잘 배어요~~그리고 이 제품은 순한 맛 떡볶이라서.. 그리 맵지않고 달콤해서아이들이 먹기에도 좋아용^^ 어묵이랑 치즈떡 추가하면 4인 가족 충분해서 한 끼  떼우기에 넉넉합니다^^,5,2024.03.02
35,전 개인적으로 떡볶이는 쌀떡보단 밀떡파에요풀무원 누들국물떡볶이간단하게 양념 넣고 끓이기만 하면 되니 간단해요.전 국물 떡볶이 좋아하는데 어묵이랑 야채를 넣으니 물이 많이 쫄아들엇니 양념이 좀더 있었으면 하는 아쉬움이 있어요.소비기한 - 202424.04.03,4,2024.03.01
36,캠핑가서 간식으로 잘 해먹었어요조리도 간편하고떡도 금방 보들보들 잘익어서오래안끓이고 바로 해서 먹을수 있어서 좋아요,5,2024.03.01
37,국물떡볶이인데 조리법대로 다따라했는데 아무맛안나서 졸여서먹어봤는데 그래도 아무맛이 안났음...,2,2024.03.01
38,한봉지 뜯어서 물 많이넣고 고추장 두숟갈더해서 양파 양배추 오뎅 많이넣어서 양 늘려서 먹음 .함께동봉된 양념은 베이스로하고 고추장만 추가했는데도 맛있음.가격도 세일가에 말랑한 누들밀떡이라 쫄깃하고 맛있음.세일가가 또뜨면 재구매하겠음,4,2024.03.01
39,제겐 풀무원은 믿고 사먹게 되는? 그런 이미지라서요 게다가 맛도 다 기본이상은 하고요 이 제품도 만족합니다 무엇보다 냉장제품인게 맘에 드는 ㅎㅎ,5,2024.03.01
40,가성비 그냥그런듯?,4,2024.02.29
41,"순대 조합으로 먹으려고 구매요즘 떡복이 1인분 너무 비싸서 이렇게 간편조리로 사는게 이득입니다 떡, 소스 얼마나 비싸다고 배달은 비싸게 받는지...",5,2024.02.29
42,제가 집에서 해 먹는것만큼은 아니지만 간단하게 조리하기 편하고 밀떡이 쫄깃쫄깃해서 좋아요,4,2024.02.28
43,어묵 더 넣고  파넣고 올리고당 조금만 넣고바글바글 끓이면 시중판매하는 떡볶이들중풀무원이 제일 맛있는 것 같아요항상 자주애용하는 제품이고작은아이가 좀 맵다고해서  저는 올리고당 좀 더 추가합니다아주굿!,5,2024.02.27
44,"소스가 아쉽다는 리뷰 보고 매운 소스 추가해서 먹었어요.양배추, 양파, 파, 어묵 추가해 볶다가 모짜렐라 올려 먹었더니 맛있어요.",4,2024.02.27
45,넘 잘 먹고 있습니다저렴하게. 잘~~ 샀습니다,5,2024.02.27
46,"배송일자: 24년 2월 25일구매금액: 2,980 won즐겨먹는 떡볶이라 가격이 좋을때 같이 구매했어요맵기도 적당해서 너무 매운거 안 좋아하는 저는 적당하구요조리시 어묵이랑 파를 넣으면 더욱더 풍성하게 완성됩니다",5,2024.02.26
47,"양이 적어요.저는 여기에 어묵3장, 삶은 달걀 추가.음, 그리고 구운 만두도 추가^^;",5,2024.02.26
48,"풀무원 밀 누들 국물떡볶이 2인분, 423.5g, 2개를 내돈내산 구매하여 저의 주관적인 후기를 작성 하였습니다.                                                                                              평소 떡볶이를 좋아하여 자주 먹는 편입니다.국물 떡볶이가 땡겼는데, 특히  아이가 좋아하는 밀 떡볶이라 풀무원 밀 누들 국물 떡볶이를 주문해봤습니다.                                                                     포장 자체부터 입맛돋구는  빨강으로 떡, 소스, 고명까지 들어 있어서 조리가 아주 간편했습니다. 떡은 냉동이 아니라 냉장 떡이라 한번 물로 헹구고 바로 사용하면 되고, 팬에 물을 넣고 헹군 떡과 소스, 고명을 넣은 후 떡이 말랑 해질 때까지 5~7분간 끓여주면 완성되는 제품 이었습니다.                        양념 소스가 적당히 달면서 맵지 않고, 떡이 특이하게 좀 얇으면서 길쭉한 떡으로 평소 두꺼운떡볶이만 먹다가 길쭉길쭉 밀 떡볶이를 먹어보던 우리 아이는 너무 맛있다고 아주 잘 먹었습니다. 제가 좋아하는 양배추와 아이가 좋아하는 모짜렐라치즈도 넣고 어묵까지 넣으니 아주 푸짐한 한 상으로 방학 동안 삼시세끼 중 아주 간편하게 한 끼 해결 할 수 있는 밀키트입니다.                                                  그리고 할인률도 좋고 2개 세트 제품에 1개 2인분 용량으로 생각보다 푸짐한 양에 맛도 좋고, 요리 편한 밀키트 제품에  아이가 너무 잘 먹어서 또 재 구매 해야 할 것 같습니다.                                 24년 02월 16일 배송 받은 제품으로 소비 기한은 두 개 모두 24년 03월 17일 까지인 제품이었습니다.",5,2024.02.26
49,"배달떡볶이 2만원밀키트떡볶이 대략 1만원이 넘는시대에3천원이하로 누들떡볶이를 먹을수 있다는게 극장점이구요이 제품은 다른 야채나 튀김 안먹고 오직 떡과 올려진 모짜렐라치즈만을 즐기는 초1아드님을 위해 준비했습니다갑자기 배고프다가 쳐들어오는 아드님에게 정말 간편하게 빠른 조리로 당당히 맞설수 있구요,추가로 치즈만 준비해주면 됩니다. 맛또한 초딩에게 맞게 아주 맵지도 않고 달달하고 적당해서 혼자 순삭이네요..사실 요리한 저는 맛도 못봤..어른이 먹으려면 라면사리,양배추,파,추가하고 이러면 양념이 부족해져서 라면스프한개통째로 넣어야겠지요..아님 두개시키던가요..어쨌든 초딩스런 남편도 옆에서 군침만 흘리더니 아들이남긴 국물에 밥볶아 먹자며 남겨두랍니다..어쩐지 옆에서 열씨미 그릇에 덜어주더니..소스맛을 봤나봐요저는 아이들 간식으로 추천합니다!!",4,2024.02.25
50,간단히 먹을 때 소스만 넣고 끓이기만 하면 되서 너무 편해요말랑한 밀떡이라 더 맛있네요하지만 다이어트 하시는 분들은 조심해야되요당류가 무려 40%가넘어가네요먹을 거 없을 때 한끼 간단한 식사로 아이들 줄거 없을 때 간식으로도 맛있는 떡볶이 적극 추천드려요:D,5,2024.02.25
51,아이들 최애 간식입니다^^  제가 살떡볶이보다는 밀떡볶이를 더 좋아해서아이들도  밀떡볶이로 구입해서 먹이고 있답니다!말랑말랑한 떡이~~ 떡이 얇은 편의 밀 누들로 되어 있어 국물이 잘 배어요~~그리고 이 제품은 순한 맛 떡볶이라서.. 그리 맵지않고 달콤해서아이들이 먹기에도 좋아용^^ 어묵이랑 치즈떡 추가하면 4인 가족 충분해서 한 끼  떼우기에 넉넉합니다^^,5,2024.02.24
52,구입일자 2024  2 23유통기한 2024  3  29 간편하게 조리가능하고 쫄깃쫄깃  맛있어요양념도 양이 많아서 좋습니다저는 대파 깨만 더 넣어서 조리했어요추천 재구매의사있어요~~!!^^,5,2024.02.24
53,일단 만들기 편합니다ㅋ 제가 귀차니즘의 1인자예요~여기에 어묵 3장 넣어주면  초4남아2명 한끼로 충분해요~2주에 하루정도는 엄마도 쉼이 필요하니 그때 만들어 먹이는걸로 추천합니다^^,5,2024.02.23
54,항상 쿠팡배송은 옳기에 역시 떡볶이도,5,2024.02.23
55,"풀무원 밀 누들 국물떡볶이 2인분, 423.5g, 1개우리 아이가 떡볶이 맛에 빠져서 여기 저기서 떡볶이를 많이 사 먹어 보고, 시켜 먹어도 보고,  엄마표도 맛들어줘 보고 했는데 마트 행사 때 풀무원 밀 누들 국물 떡볶이를 사서 먹어보고는 정착한 제품입니다.                                                                          이 제품을 알기 전에는 엄마표가 제일 맛있다고 해서 항상 시장 떡집에서 떡볶이 떡을 사서 냉동 해두고 먹고 싶다 하면 해동해서 만들어주곤했는데 이제 그럴 필요가 없게 됐습니다.풀무원 밀 누들 국물 떡볶이 2인분, 423.5g, 1개는 아주 간편한 밀키트 제품으로 떡도 냉장떡이라 해동 시킬 필요 없이 물에 헹구어서 사용하면 되고 소스와 고명이 들어 있어서 10분이면 아주 맛있는 떡볶이가 완성됩니다.                                           너무 두껍지 않고 길쭉한 밀 누들 떡으로 적당히 쫀득하여 아이가 특히 좋아합니다. 그리고 맵기도 너무 맵지 않아서 아이 먹기도 좋은 것 같습니다.그리고 200cc물을 사용하라고 되어 있던데 저는 아이 때문에 250cc 정도 물을 부어서 사용하고어묵과 파, 치즈 넣어서 해주면 한 끼 뚝딱 너무 잘 먹어줘서 할인 할 때 쟁여 둬야 할 것 같습니다.밀 떡에 맵지 않은 떡볶이를 원하는 분이라면 추천해주고 싶은 제품입니다.",5,2024.02.23
56,"다른때보다는%세일을적게했습니다.밀떡볶이좋아합니다특히누들떡이는굵기가늘어서더맛있어요.어묵,양파,대파,마늘,핵불닭소스굴소스등추가해서조리하면정말맛있습니다.",4,2024.02.23
57,약간 애들 간식용 같은 맵기와 달달함2인분이라고 되어있지만 성인 혼자서도 다 먹을 수 있음 밀떡 양만 300그램임,5,2024.02.23
58,트레이더스 사서 먹던 제품 아들이 좋아해서 간식으로 구매 했습니다~~,5,2024.02.22
59,아아들이 좋아해서 열어번 주문했어요,5,2024.02.21
60,너무맛있고조리간편남편 아이들 다 좋아해서 우리집 원픽입니다.너무 맛있쥬~♡,5,2024.02.21
61,가끔주문해서 먹고있는데 맛있어요조리하는것도 편하고 맛도 어른입맛에도 맞아서 가끔 주문해서 먹고있어요식구 4명이 밥이랑 2인분짜리하나면 배부르지도않고 적당히 먹고있어요아버님도 밖에서 파는것보다 맛있다고하셔서 저희집에서는 가끔 사먹으려고  합니다당연히 재구매는 합니다짜지않고 괜찮아요,4,2024.02.21
62,"조금 저렴하다 싶었는데 어묵이 없네요ㅎㅎ 그래도 국물 떡볶이로, 학교앞 떡볶이 스타일이라 맛있게 잘 먹었어요~~ㅎㅎ",5,2024.02.20
